Census District,City/Town/Village,Total Population,Year,latitude,longitude,lat_decimals,lon_decimals,needs_reassign,good_coords,pop_clean
Gaborone,Gaborone West Extension 2 (Phase 1),"2,017",2022,-24.6683697,25.8920998,7,7,False,True,2017
Gaborone,Gaborone West Extension 3 (Phase 1),"5,131",2022,-24.6639467,25.8861856,7,7,False,True,5131
Gaborone,Gaborone West Extension 4 (Phase 1),"4,917",2022,-24.6595229,25.8802712,7,7,False,True,4917
Gaborone,Gaborone West Extension 5 (Phase 1),"2,200",2022,-24.650167,25.8861856,6,7,False,True,2200
Gaborone,Gaborone West Extension 6 (Phase 1),"5,088",2022,-24.6551348,25.8891427,7,7,False,True,5088
Gaborone,Gaborone West Extension 7 (Phase 1),"2,181",2022,-24.659558,25.8950568,6,7,False,True,2181
Gaborone,Gaborone West Extension 8 (Phase 2),"1,641",2022,-24.6510272,25.9002316,7,7,False,True,1641
Gaborone,Gaborone West Extension 9 (CBD),56,2022,-24.6524619,25.9261038,7,7,False,True,56
Gaborone,Gaborone West Extension 10 (Phase 2),"1,520",2022,-24.6435935,25.9031885,7,7,False,True,1520
Gaborone,Gaborone West Extension 11 (Phase 2),"3,093",2022,-24.6430231,25.8950568,7,7,False,True,3093
Gaborone,Gaborone West Extension 12 (Phase 2),"3,301",2022,-24.6496717,25.8941253,7,7,False,True,3301
Gaborone,Extension 13 Old Naledi Industrial,144,2022,-24.6865702,25.8980138,7,7,False,True,144
Gaborone,Gaborone West Extension 14 (Industrial),1,2022,-24.6580003,25.9077037,7,7,False,True,1
Gaborone,Gaborone West Extension 15 (Phase 4),716,2022,-24.6580003,25.9077037,7,7,False,True,716
Gaborone,Gaborone West Extension 16 (Phase 4),"1,031",2022,-24.6771559,25.8780533,7,7,False,True,1031
Gaborone,Gaborone West Extension 17 (Phase 4),"2,516",2022,-24.6755145,25.8832284,7,7,False,True,2516
Gaborone,Gaborone West Extension 18 (Phase 4),978,2022,-24.6782788,25.8869248,7,7,False,True,978
Gaborone,Gaborone West Extension 19 (Phase 4),654,2022,-24.671644,25.8780533,6,7,False,True,654
Gaborone,Gaborone West Extension 20 (Phase 4),"1,597",2022,-24.667238,25.8795319,6,7,False,True,1597
Gaborone,Gaborone West Extension 21 (Phase 4),"1,216",2022,-24.6727672,25.8869248,7,7,False,True,1216
Gaborone,Gaborone West Extension 22 (Block 9),"1,476",2022,-24.6700042,25.8715784,7,7,False,True,1476
Gaborone,Gaborone West Extension 23 (Block 9),982,2022,-24.6700042,25.8715784,7,7,False,True,982
Gaborone,Gaborone West Extension 24 (Block 9),"1,256",2022,-24.6700042,25.8715784,7,7,False,True,1256
Gaborone,Gaborone West Extension 25 (Block 9),"2,034",2022,-24.6700042,25.8715784,7,7,False,True,2034
Gaborone,Gaborone West Extension 26 (Block 9),"1,511",2022,-24.6700042,25.8715784,7,7,False,True,1511
Gaborone,Gaborone West Extension 27 (Block 9),836,2022,-24.6700042,25.8715784,7,7,False,True,836
Gaborone,Gaborone West Extension 28 (Block 9),694,2022,-24.6580003,25.9077037,7,7,False,True,694
Gaborone,Gaborone West Extension 29 (Block 9),"1,294",2022,-24.6700042,25.8715784,7,7,False,True,1294
Gaborone,Gaborone West Extension 30 (Block 3),"2,701",2022,-24.6580003,25.9077037,7,7,False,True,2701
Gaborone,Gaborone West Extension 31 (Block 3),"2,045",2022,-24.6295426,25.904667,7,6,False,True,2045
Gaborone,Gaborone West Extension 32 (Block 3),"1,085",2022,-24.6331145,25.9002316,7,7,False,True,1085
Gaborone,Gaborone West Extension 33 (Block 3),770,2022,-24.6580003,25.9077037,7,7,False,True,770
Gaborone,Gaborone West Extension 35 (Block 8),"4,133",2022,-24.607777,25.9068847,6,7,False,True,4133
Gaborone,Gaborone West Extension 36 (Block 8),"5,817",2022,-24.5989656,25.9098415,7,7,False,True,5817
Gaborone,Gaborone West Extension 37 (Block 8),"5,260",2022,-24.6028459,25.918712,7,6,False,True,5260
Gaborone,Gaborone West Extension 38 (Block 8),"1,649",2022,-24.6580003,25.9077037,7,7,False,True,1649
Gaborone,Gaborone West Extension 39 (Block 6),"2,807",2022,-24.624024,25.8890844,6,7,False,True,2807
Gaborone,Gaborone West Extension 40 (Block 6),"2,076",2022,-24.6226064,25.8861856,7,7,False,True,2076
Gaborone,Gaborone West Extension 41 (Block 6),"2,189",2022,-24.6256483,25.9501257,7,7,False,True,2189
Gaborone,Gaborone West Extension 42 (Block 6),"2,101",2022,-24.6380368,25.884707,7,6,False,True,2101
Gaborone,Gaborone West Extension 43 (Block 5),"4,689",2022,-24.6166825,25.9445824,7,7,False,True,4689
Gaborone,Gaborone West Extension 48 (Block 7),"9,794",2022,-24.6193257,25.8965353,7,7,False,True,9794
Gaborone,Gaborone West Extension 49 (Block 5),"2,480",2022,-24.6580003,25.9077037,7,7,False,True,2480
Gaborone,Extension 91 (New Naledi),"1,093",2022,-24.635809750690672,25.805518402604488,2,2,True,False,1093
Gaborone,Extension 92 (New Canada),818,2022,-24.66079438508553,25.95515512060444,2,2,True,False,818
Gaborone,Extension 1 (Mmaraka),5,2022,-24.6615616,25.9057866,7,7,False,True,5
Gaborone,Extension 2 (Selemela),810,2022,-24.615518718096727,25.881492999776675,2,2,True,False,810
Gaborone,Extension 3 (Main Mall),6,2022,-24.658243,25.9157412,6,7,False,True,6
Gaborone,Extension 4 (Dilalelo),"1,144",2022,-24.6595229,25.8802712,7,7,False,True,1144
