agegroup,infectionstatus,patients,m_ak,target_presc_ak
1-5,CAI,51.0,0.7647058823529411,39.0
1-5,HAI,4.0,2.25,9.0
1-5,NIC,8.0,0.75,6.0
11 to 15 years,CAI,13.0,0.6923076923076923,9.0
11 to 15 years,HAI,0.0,0.0,1.0
11 to 15 years,NIC,8.0,1.25,10.0
16 to 20 years,CAI,31.0,0.7741935483870968,24.0
16 to 20 years,HAI,2.0,3.5,7.0
16 to 20 years,NIC,12.0,0.3333333333333333,4.0
21 to 25 years,CAI,75.0,1.12,84.0
21 to 25 years,HAI,3.0,2.6666666666666665,8.0
21 to 25 years,NIC,21.0,0.7142857142857143,15.0
26 to 30 years,CAI,57.0,1.280701754385965,73.0
26 to 30 years,HAI,2.0,4.0,8.0
26 to 30 years,HBCI,1.0,0.0,0.0
26 to 30 years,NIC,19.0,1.0,19.0
31 to 35 years,CAI,61.0,1.1147540983606556,68.0
31 to 35 years,HAI,5.0,2.2,11.0
31 to 35 years,NIC,18.0,1.0555555555555556,19.0
36 to 40 years,CAI,45.0,1.0222222222222221,46.0
36 to 40 years,HAI,2.0,2.0,4.0
36 to 40 years,NIC,23.0,1.3478260869565217,31.0
41 to 45 years,CAI,28.0,1.2857142857142858,36.0
41 to 45 years,HAI,1.0,6.0,6.0
41 to 45 years,NIC,15.0,0.5333333333333333,8.0
46 to 50 years,CAI,28.0,1.2142857142857142,34.0
46 to 50 years,HAI,1.0,4.0,4.0
46 to 50 years,NIC,10.0,0.7,7.0
51 to 55 years,CAI,16.0,1.0,16.0
51 to 55 years,HAI,0.0,0.0,1.0
51 to 55 years,NIC,13.0,0.7692307692307693,10.0
56 to 60 years,CAI,17.0,0.7647058823529411,13.0
56 to 60 years,NIC,10.0,1.0,10.0
6 to 10 years,CAI,19.0,2.210526315789474,42.0
6 to 10 years,NIC,8.0,1.375,11.0
61 to 65 years,CAI,8.0,1.5,12.0
61 to 65 years,HAI,4.0,2.0,8.0
61 to 65 years,HBCI,1.0,2.0,2.0
61 to 65 years,NIC,6.0,1.0,6.0
66+,CAI,59.0,0.8135593220338984,48.0
66+,HAI,11.0,2.3636363636363638,26.0
66+,HBCI,3.0,0.6666666666666666,2.0
66+,NIC,29.0,0.5862068965517241,17.0
<1,CAI,33.0,1.1818181818181819,39.0
<1,HAI,35.0,2.057142857142857,72.0
<1,NIC,15.0,2.4,36.0
