agegroup,infectionstatus,hospital_type,Class,p_class
<1,CAI,Primary,Aminoglycosides,0.05194805194805195
<1,CAI,Primary,Amphenicols,0.0
<1,CAI,Primary,Carbapenems,0.0
<1,CAI,Primary,Cephalosporins,0.2337662337662337
<1,CAI,Primary,Glycopeptides,0.0
<1,CAI,Primary,Lincosamides,0.0
<1,CAI,Primary,Macrolides,0.05194805194805198
<1,CAI,Primary,Nitroimidazoles,0.20779220779220786
<1,CAI,Primary,Penicillins,0.3506493506493506
<1,CAI,Primary,Quinolones,0.05194805194805196
<1,CAI,Primary,Sulphonamides,0.03896103896103896
<1,CAI,Primary,Tetracyclines,0.01298701298701299
<1,CAI,District,Aminoglycosides,0.04593639575971732
<1,CAI,District,Amphenicols,0.0
<1,CAI,District,Carbapenems,0.0035335689045936404
<1,CAI,District,Cephalosporins,0.282685512367491
<1,CAI,District,Glycopeptides,0.03180212014134278
<1,CAI,District,Lincosamides,0.007067137809187285
<1,CAI,District,Macrolides,0.06360424028268555
<1,CAI,District,Nitroimidazoles,0.23321554770318037
<1,CAI,District,Penicillins,0.23674911660777376
<1,CAI,District,Quinolones,0.014134275618374562
<1,CAI,District,Sulphonamides,0.04946996466431098
<1,CAI,District,Tetracyclines,0.03180212014134277
<1,CAI,Tertiary,Aminoglycosides,0.09611829944547136
<1,CAI,Tertiary,Amphenicols,0.0018484288354898334
<1,CAI,Tertiary,Carbapenems,0.022181146025877996
<1,CAI,Tertiary,Cephalosporins,0.21996303142329024
<1,CAI,Tertiary,Glycopeptides,0.02772643253234751
<1,CAI,Tertiary,Lincosamides,0.00369685767097967
<1,CAI,Tertiary,Macrolides,0.00924214417744917
<1,CAI,Tertiary,Nitroimidazoles,0.20147874306839197
<1,CAI,Tertiary,Penicillins,0.31792975970425125
<1,CAI,Tertiary,Quinolones,0.014787430683918672
<1,CAI,Tertiary,Sulphonamides,0.059149722735674676
<1,CAI,Tertiary,Tetracyclines,0.02587800369685768
<1,CAI,Specialist,Aminoglycosides,0.03703703703703703
<1,CAI,Specialist,Amphenicols,0.0
<1,CAI,Specialist,Carbapenems,0.09876543209876543
<1,CAI,Specialist,Cephalosporins,0.48148148148148145
<1,CAI,Specialist,Glycopeptides,0.08641975308641979
<1,CAI,Specialist,Lincosamides,0.0
<1,CAI,Specialist,Macrolides,0.01234567901234568
<1,CAI,Specialist,Nitroimidazoles,0.14814814814814817
<1,CAI,Specialist,Penicillins,0.1358024691358024
<1,CAI,Specialist,Quinolones,0.0
<1,CAI,Specialist,Sulphonamides,0.0
<1,CAI,Specialist,Tetracyclines,0.0
<1,HAI,Primary,Aminoglycosides,0.05194805194805196
<1,HAI,Primary,Amphenicols,0.0
<1,HAI,Primary,Carbapenems,0.0
<1,HAI,Primary,Cephalosporins,0.23376623376623376
<1,HAI,Primary,Glycopeptides,0.0
<1,HAI,Primary,Lincosamides,0.0
<1,HAI,Primary,Macrolides,0.05194805194805197
<1,HAI,Primary,Nitroimidazoles,0.2077922077922079
<1,HAI,Primary,Penicillins,0.3506493506493506
<1,HAI,Primary,Quinolones,0.05194805194805195
<1,HAI,Primary,Sulphonamides,0.03896103896103896
<1,HAI,Primary,Tetracyclines,0.01298701298701299
<1,HAI,District,Aminoglycosides,0.045936395759717315
<1,HAI,District,Amphenicols,0.0
<1,HAI,District,Carbapenems,0.0035335689045936404
<1,HAI,District,Cephalosporins,0.28268551236749107
<1,HAI,District,Glycopeptides,0.031802120141342774
